"id","name"
"KiUAHDBojSArTaQBxFKddS","KAGONYI"
"gYow3MWei9pvyGd9cubbG5","CDS KAGURUTSI"
"W8HXPhXcDBXWbaYAKiNzkT","Bunyuro"
"nNUoXaeZmDXcajPVGGWojL","GASHINGA"
"bZruJ5BrPMp2iSZWsPC68s","MIKONI"
"iN4b8RGTb7yXNaUfxpwg82","KIRYAMA"
"GtxHmbThjcpcxbhki20600","MUEREGERE"
"baHhZPJMLEeRAgKxUMm5rf","Gifunzo ii"
"T3BXjvQQ2CinrzXJsN34er","NGWEDUME"
"nb8UtJeGSZcXJszXzazvZV","GITARAMUKA"
"H6tDmmFJv38PYJwicCD8vp","Gitabi"
"mo4tjrQCGCNqvJ6KLACGJK","BIHORORO"
"RzpWzWd9Qgs9x6CL8bEFjD","RENGA 2"
"YdVikzVPBtFTjctqFeFhYt","MANGARA"
"amiw3jUNV2AXaAH5YuNdUH","MUHINGO"
"RV5phfckkqqwyjizc3AQkr","KIRWATI"
"GJd3rkWqMX22u98QWRzN68","NYANZA I"
"F2UdBgAxmC742d74t9jP22","MARAMVYA"
"FBXK7seuuDRBoHQXTYTJ3c","SFD_ECOFO SHEIKINA SCHOOL"
"b5PFimZT6uZMLykiBd4PPB","KAGWA"
"CAaRUjscsfCFvw2wJ7WHkB","Makaba"
"cDx2hfwbp36iHNaXfTimFH","HC Bururi"
"3x5v5M6TrNWZnSbcuc8VbJ","Musama"
"JzSzkzcfEMTfLsXAAqaaeR","MUTOBO"
"YXnJGFXhGiEdywg3u2T63W","GAKWENDE"
"2Pn2Pt2XqKcJukEScT2s7z","KIRAMA"
"ZY7zZEhEHPaHgr2TmHoC75","BWIZA"
"eY6rDZ64HeJdZJ7v7LFJQk","BIRONGOZI II"
"eYPxAUEasNgNUi3skMZsam","RUNDA"
"FCBpxFnYpZqQpbxYLGjci2","KIRIZA"
"b5PszqEwnMm9XTH3na97LH","MUZENGA"
"2ZMVijSsP8LC8WsrJBeaPw","SFD_ECOFO MWAYI"
"U6dPaaUeZKXrJ6qFWwRQcr","SFD_CDS GITARA (NYANZA)"
"BJuxAA7o8nDcfgKDcx9BUp","MIKA"
"n9FLZPBozr4nwm6NpTZyA9","SFD_CDS KINAMA (RUMONGE)"
"R4RAMfrTUxDGBPC9AQo2jo","SFD_LCO GATWE"
"2DLm5bTjLTWvDWpTAmoiNo","Nanira Ii"
"6BhT6JaHpkAbbeXpRUZvVQ","RWEGA"
"2gfWiSUqXKhKviZdWkR4UY","MURAMA"
"aahNAMPUxomDHZmvYSgPv6","RUBENJE"
"XbchEoWkZAa4jXt3f9M8pE","SFD_HC GISHUBI"
"UDkqnEDshsbxrBfwEGszdh","Kagongo"
"AbnBu6iGNAX9ZGaV4USW9B","RUGUNGA"
"Buhrssb7kmwrbtZa5VwxdV","GITENGERI"
"YnPjXN8eJBV2eGkhkT8KGu","KIYANZA"
"cww39vYDtFKwCkL8FdFYrD","NYABIHWA"
"jibwPXUcUZCK3fVVumADuv","SFD_CDS BUZIRAGAHAMA"
"mkMmx4n9MLKnJjSby3dt9p","Miheto II"
"d2ns4knKBEyFF2jbmUFJAX","SFD_CDS KIRURI"
"PyGKdA9irey4jatJcBh8hs","NYANGE"
"mkRtVYXLrkwjaGiMhiTCDQ","KIRENGA"
"XqyfZjwJhMVvsauTpVkjua","NYAKABANDA"
"bYx8Hu3sQ7j2bPqBErp6wM","SFD_CDS GIKO"
"LshiFNHkA76vHGJnMKuG6M","BIHANGA"
"TY4dn5t5Kfad3VnBomocnF","Mpanda"
"dgfzc4eKubzCtifJBXAUvV","SFD_COMMUNE RUTEGAMA"
"aBTsuemGUPpE9He8ZgmmYV","MUTARURE"
"WkD6TjyAhRwcuu9UfFHPFX","MIHAMA"
"mJjkPMY8vDTYwizBQeg8Zq","GOGA"
"ex7CZgD8wcvKffCGFjrRN6","BANDA"
"HpLrWSipTE6QvZsucJwvih","NKUNDA"
"GBZY3Y3fX9bC5uJ8stN5UL","MIRENGANE"
"nbvRa3K4r47Ze6nCqXaaEd","CDS KIBUYE (ISARE)"
"GMTKfzqj4KhnfsME6VKd4r","BITARE"
"d4uEvAXY2CX3M67o4gkKtL","MIVYUKO"
"eMTRg3cXkRUnHXeu2AFCxX","GACANJISHI"
"GtxHmbThjcpcxbhki20700","CINYAMBO"
"XebFeLd2rBycqxLitgDiQp","MWIZI"
"mYoizKyqvrCAZWaV2tN7Lh","AV DU MARCHE"
"D3DZQsc22X3wnDHNiPMufr","MBIZI"
"38d4SJdcAvdoGrsPwaVye8","MUYAGA"
"cTxQiRZ9ERqZBFSFtPypDh","Ruyaga"
"AEQUDKHas4rwsKKHjk6GFp","SFD_CDS NZOVE"
"exTTJJfMxSRGJvCvfNtiGy","MUSUMBA"
"ey3NN4YkhhVdjnbPCidJSV","MASHA II"
"WrDqaJEFGMF4oabsN8t3we","CDS Mwura"
"ie99kGcnuPqPYWoWWADodZ","Sinini"
"EwKDPJuZa8sSLiGhWNpkDK","Busumanyi"
"igM9ZagyjtdtY69nPQFDDf","GIHARAHATA"
"7yaUGc25b69xQP3zA4iECb","SFD_CDS MATARA"
"ZMQyUJ8peUZ7pdLUcbAvnC","MUGANO"
"YFCL8j7dFJQs9w8VFeHLVW","NYABISIGA"
"CSixKt3EY53xXfGodV4KNS","Rugenge III"
"4sCWKmH3KJa4Ka5QoQtyKP","RUBANGA"
"79b2AcNVBhPqdrQnpTk4Y8","TR12 Rubira"
"aAs6AeoPQVFXZ5iaFahyaD","RUKEREREZA"
"Q6WxLWPpPP3MJqirEikpA5","Mirwa 3"
"jRhUcSHZ5WbPDT2oJmqSNT","RUKIGA"
"Ku9Bqw2st6QxxbeuX2SL44","MYUGARIRO"
"Qnhp2ND5tRBKvYkSMPasRG","SFD_CDS MABAYI"
"cC38SaQ579dZFr2iwA9sxS","BUJORO"
"oW243RUx27Bw44ywgewcvV","NTATEMWA"
"4kXezkfgie4mRgxLeD9o38","Mayengo B"
"P57CccG7fSJGoE9rxrQDob","BUKANGARA"
"TREssgMAqC2eFDcynCcQQE","SFD_ECOFO MUTARA (RUMONGE)"
"VPzBzaS87pfPFy3ucYRgu7","TABA"
"7j9UPSgot5Vey4DD2gawX4","RUBUYE IIID"
"GtxHmbThjcpcxbhki20001","VUMBI"
"gWnY78CxckaAr2r8bMyPtZ","GITOBO"
"ZJVkPvNWSR24ZvHgb9FtYd","RUBANO"
"RBPYmPnyGB4VzjXd8FtwQq","MASAMA"
"FRKcySRtb5c2oecVQezZfy","RANGO"
"h2WogrXeuuRY4KbFGJaJ5h","SFD_ECOFO GATABA"
"LF2ZMB9dN7o7CKKZ3mVWdE","BUTARE"
"npzPeJwTWxiMHa57Xq7aHT","Ruzenga"
"dmmkf4yVMAV3RLa5N9W3iJ","MBIZI II"
"XUVTXy47cs8H4k7igP3gD6","Mujimwema III"
"kKtQb7LmwT6h8E2xhQQ6kB","Rutoke"
